2022-10-04T04:17:35.572095,00:20,00:20
2022-10-04T04:17:56.387097,00:17,00:38
2022-10-04T04:18:13.871892,00:17,00:56
2022-10-04T04:18:31.697288,00:18,01:14
2022-10-04T04:18:50.362532,00:18,01:32
2022-10-04T04:19:08.452334,00:18,01:51
2022-10-04T04:19:26.581209,00:18,02:09
2022-10-04T04:19:44.994749,00:18,02:27
2022-10-04T04:20:03.339538,00:18,02:46
2022-10-04T04:20:21.758557,00:18,03:04
2022-10-04T04:20:40.105442,00:18,03:22
2022-10-04T04:20:58.556961,00:18,03:41
2022-10-04T04:21:17.203035,00:18,04:00
2022-10-04T04:21:36.001244,00:18,04:19
2022-10-04T04:21:54.735465,00:18,04:37
2022-10-04T04:22:13.498132,00:18,04:56
2022-10-04T04:22:32.349472,00:18,05:15
2022-10-04T04:22:51.218798,00:18,05:34
2022-10-04T04:23:09.935697,00:19,05:53
2022-10-04T04:23:29.178623,00:19,06:12
2022-10-04T04:23:48.396912,00:19,06:31
2022-10-04T04:24:07.492881,00:18,06:50
2022-10-04T04:24:26.185116,00:18,07:09
2022-10-04T04:24:44.983101,00:18,07:28
2022-10-04T04:25:03.631804,00:18,07:46
2022-10-04T04:25:22.292182,00:18,08:05
2022-10-04T04:25:40.821590,00:18,08:24
2022-10-04T04:25:59.781659,00:18,08:42
2022-10-04T04:26:18.211824,00:18,09:00
2022-10-04T04:26:36.545945,00:18,09:19
2022-10-04T04:26:54.997291,00:18,09:37
2022-10-04T04:27:13.373558,00:18,09:56
2022-10-04T04:27:31.740429,00:18,10:14
2022-10-04T04:27:50.258227,00:18,10:32
2022-10-04T04:28:08.498689,00:18,10:51
2022-10-04T04:28:27.392155,00:18,11:10
2022-10-04T04:28:45.914236,00:18,11:28
2022-10-04T04:29:04.464033,00:18,11:47
2022-10-04T04:29:23.024186,00:18,12:05
2022-10-04T04:29:41.415995,00:18,12:24
2022-10-04T04:29:59.789380,00:18,12:42
2022-10-04T04:30:18.229271,00:18,13:00
2022-10-04T04:30:36.488096,00:18,13:19
2022-10-04T04:30:55.381928,00:18,13:38
2022-10-04T04:31:13.913170,00:18,13:56
2022-10-04T04:31:32.267413,00:18,14:14
2022-10-04T04:31:50.565326,00:18,14:33
2022-10-04T04:32:08.875272,00:18,14:51
2022-10-04T04:32:27.282985,00:18,15:10
2022-10-04T04:32:45.698870,00:18,15:28
2022-10-04T04:33:04.069657,00:19,15:48
2022-10-04T04:33:23.885904,00:19,16:07
2022-10-04T04:33:43.077540,00:18,16:26
2022-10-04T04:34:01.875067,00:19,16:46
2022-10-04T04:34:21.820286,00:19,17:05
2022-10-04T04:34:41.253413,00:19,17:24
2022-10-04T04:35:00.429771,00:18,17:43
2022-10-04T04:35:19.105283,00:18,18:01
2022-10-04T04:35:37.559992,00:18,18:20
2022-10-04T04:35:55.941288,00:18,18:38
2022-10-04T04:36:14.216480,00:18,18:56
2022-10-04T04:36:32.514929,00:18,19:15
2022-10-04T04:36:50.680161,00:18,19:33
2022-10-04T04:37:09.009563,00:18,19:51
2022-10-04T04:37:27.357994,00:18,20:10
2022-10-04T04:37:45.698901,00:18,20:28
2022-10-04T04:38:03.883339,00:18,20:47
2022-10-04T04:38:22.573972,00:18,21:05
2022-10-04T04:38:40.950151,00:18,21:23
2022-10-04T04:38:59.359279,00:18,21:42
2022-10-04T04:39:17.759851,00:18,22:00
2022-10-04T04:39:36.257160,00:18,22:19
2022-10-04T04:39:54.805940,00:18,22:37
2022-10-04T04:40:13.502449,00:18,22:56
2022-10-04T04:40:31.958186,00:18,23:15
2022-10-04T04:40:50.751057,00:18,23:33
2022-10-04T04:41:09.323388,00:19,23:52
2022-10-04T04:41:28.353755,00:18,24:11
2022-10-04T04:41:47.001905,00:19,24:30
2022-10-04T04:42:06.070118,00:18,24:48
2022-10-04T04:42:24.478336,00:18,25:07
2022-10-04T04:42:43.030640,00:18,25:25
2022-10-04T04:43:01.404590,00:18,25:44
2022-10-04T04:43:20.092384,00:18,26:03
2022-10-04T04:43:38.775370,00:18,26:22
2022-10-04T04:43:57.770932,00:18,26:40
2022-10-04T04:44:16.265124,00:19,26:59
2022-10-04T04:44:35.424505,00:18,27:18
2022-10-04T04:44:54.368107,00:18,27:37
2022-10-04T04:45:13.087788,00:18,27:56
2022-10-04T04:45:31.671360,00:18,28:15
2022-10-04T04:45:50.593795,00:18,28:33
2022-10-04T04:46:08.991542,00:18,28:52
2022-10-04T04:46:27.794437,00:18,29:10
2022-10-04T04:46:46.292506,00:18,29:29
2022-10-04T04:47:04.920495,00:18,29:47
2022-10-04T04:47:23.448972,00:18,30:06
2022-10-04T04:47:41.940279,00:18,30:24
2022-10-04T04:48:00.351807,00:18,30:43
2022-10-04T04:48:18.869019,00:19,31:02
2022-10-04T04:48:38.120360,00:18,31:21
2022-10-04T04:48:56.582793,00:19,31:40
2022-10-04T04:49:16.082941,00:20,32:01
2022-10-04T04:49:36.948216,00:19,32:20
2022-10-04T04:49:56.294329,00:19,32:39
2022-10-04T04:50:15.503724,00:18,32:58
2022-10-04T04:50:33.892405,00:18,33:16
2022-10-04T04:50:52.551344,00:18,33:35
2022-10-04T04:51:10.804588,00:18,33:54
2022-10-04T04:51:29.609855,00:18,34:12
2022-10-04T04:51:47.970768,00:18,34:31
2022-10-04T04:52:06.697932,00:18,34:49
2022-10-04T04:52:25.383412,00:18,35:08
2022-10-04T04:52:44.224439,00:18,35:27
2022-10-04T04:53:02.837353,00:19,35:46
2022-10-04T04:53:21.954105,00:18,36:05
2022-10-04T04:53:40.848102,00:19,36:24
2022-10-04T04:54:00.111499,00:18,36:43
2022-10-04T04:54:18.680330,00:18,37:01
2022-10-04T04:54:37.217409,00:18,37:20
2022-10-04T04:54:55.959822,00:18,37:38
2022-10-04T04:55:14.447790,00:18,37:57
2022-10-04T04:55:32.968589,00:18,38:16
2022-10-04T04:55:51.577502,00:21,38:37
2022-10-04T04:56:13.430448,00:20,38:58
2022-10-04T04:56:33.627726,00:19,39:17
2022-10-04T04:56:52.779182,00:18,39:36
2022-10-04T04:57:11.747513,00:18,39:54
2022-10-04T04:57:30.462472,00:18,40:13
2022-10-04T04:57:49.316489,00:18,40:32
2022-10-04T04:58:07.962467,00:19,40:51
2022-10-04T04:58:27.129139,00:18,41:10
2022-10-04T04:58:45.844755,00:18,41:29
2022-10-04T04:59:04.650318,00:18,41:47
2022-10-04T04:59:23.336417,00:18,42:06
2022-10-04T04:59:42.300584,00:18,42:25
2022-10-04T05:00:01.211951,00:18,42:44
