2022-10-03T04:26:07.557725;0:27;0:33
2022-10-03T04:26:35.415520;0:26;0:59
2022-10-03T04:27:01.530592;0:29;1:29
2022-10-03T04:27:31.072964;0:33;2:2
2022-10-03T04:28:04.324184;0:31;2:34
2022-10-03T04:28:36.074360;0:32;3:7
2022-10-03T04:29:08.807629;0:33;3:40
2022-10-03T04:29:42.020642;0:33;4:14
2022-10-03T04:30:15.775093;0:33;4:47
2022-10-03T04:30:49.100531;0:34;5:21
2022-10-03T04:31:23.678990;0:35;5:57
2022-10-03T04:31:59.418078;0:36;6:34
2022-10-03T04:32:36.397283;0:37;7:12
2022-10-03T04:33:14.075268;0:37;7:49
2022-10-03T04:33:51.430444;0:36;8:26
2022-10-03T04:34:27.968074;0:36;9:2
2022-10-03T04:35:04.742169;0:36;9:39
2022-10-03T04:35:41.369174;0:38;10:18
2022-10-03T04:36:20.029941;0:38;10:56
2022-10-03T04:36:58.127834;0:38;11:34
2022-10-03T04:37:36.544717;0:36;12:11
2022-10-03T04:38:13.321446;0:35;12:46
2022-10-03T04:38:48.584034;0:35;13:22
2022-10-03T04:39:24.508565;0:36;13:59
2022-10-03T04:40:01.253378;0:33;14:33
2022-10-03T04:40:35.109323;0:35;15:8
2022-10-03T04:41:10.536589;0:35;15:44
2022-10-03T04:41:45.896768;0:34;16:18
2022-10-03T04:42:20.523628;0:33;16:52
2022-10-03T04:42:54.372470;0:36;17:29
2022-10-03T04:43:31.052473;0:34;18:4
2022-10-03T04:44:05.904019;0:35;18:39
2022-10-03T04:44:41.689490;0:34;19:14
2022-10-03T04:45:15.942822;0:36;19:50
2022-10-03T04:45:52.408067;0:35;20:26
2022-10-03T04:46:28.354107;0:35;21:2
2022-10-03T04:47:04.096158;0:35;21:38
2022-10-03T04:47:40.093268;0:36;22:14
2022-10-03T04:48:16.239286;0:37;22:51
2022-10-03T04:48:53.668701;0:36;23:28
2022-10-03T04:49:30.207419;0:35;24:4
2022-10-03T04:50:06.026778;0:36;24:40
2022-10-03T04:50:42.608859;0:37;25:18
2022-10-03T04:51:20.335179;0:36;25:55
2022-10-03T04:51:56.921598;0:35;26:30
2022-10-03T04:52:32.704537;0:38;27:9
